epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2106.66,0.62884,1.21411,0.60814,1.14219,0,0.92181,1,0.9897,0.80245,0.92181,1,0.9897,0.77017,0.70113,0.90646,0.73684,1.47909,0,0.0014456,0.0014456,0.0014456
30,2176.13,0.7052,1.23101,0.66686,1.23372,0,0.9855,1,0.995,0.84937,0.9855,1,0.995,0.78054,0.63584,0.84593,0.7031,1.31371,0,0.0014258,0.0014258,0.0014258
31,2247.36,0.67589,1.17473,0.648,1.20638,0,1,0.99223,0.995,0.83241,1,0.99223,0.995,0.75719,0.606,0.92317,0.61388,1.34735,0,0.001406,0.001406,0.001406
32,2319.86,0.67558,1.16202,0.63002,1.21875,0,0.94124,1,0.98367,0.79639,0.94124,1,0.98367,0.75715,0.62382,0.94051,0.66729,1.36895,0,0.0013862,0.0013862,0.0013862
33,2389.18,0.71868,1.25391,0.66463,1.2224,0,0.93544,0.99936,0.97651,0.77933,0.93544,0.99936,0.97651,0.71838,0.69927,0.9865,0.70638,1.44237,0,0.0013664,0.0013664,0.0013664
34,2459.91,0.63156,1.1844,0.64019,1.16142,0,0.98647,1,0.995,0.81645,0.98647,1,0.995,0.76054,0.60413,0.89999,0.62483,1.31687,0,0.0013466,0.0013466,0.0013466
35,2529.35,0.66069,1.17029,0.62065,1.18395,0,0.92884,0.96552,0.96502,0.80889,0.96281,1,0.994,0.66801,0.58898,1.10597,0.64087,1.34716,0,0.0013268,0.0013268,0.0013268
36,2598.6,0.59721,1.20544,0.59283,1.14446,0,0.92777,1,0.99113,0.84853,0.92777,1,0.99113,0.73627,0.5896,0.97102,0.58784,1.25592,0,0.001307,0.001307,0.001307
37,2667.95,0.63626,1.15375,0.61617,1.17502,0,0.96211,1,0.99167,0.80417,0.96211,1,0.99167,0.76569,0.627,0.89597,0.67327,1.30752,0,0.0012872,0.0012872,0.0012872
38,2738.15,0.56047,1.12416,0.57205,1.1092,0,0.96082,0.96552,0.98792,0.85187,0.99513,1,0.995,0.77453,0.57717,0.87659,0.54161,1.28972,0,0.0012674,0.0012674,0.0012674
39,2805.92,0.61812,1.15847,0.59293,1.14111,0,0.99782,1,0.995,0.86765,0.99782,1,0.995,0.74778,0.56067,0.94134,0.51988,1.24092,0,0.0012476,0.0012476,0.0012476
40,2874.98,0.59832,1.17147,0.60005,1.1243,0,0.99617,1,0.995,0.89592,0.99617,1,0.995,0.7855,0.52051,0.8402,0.48954,1.22076,0,0.0012278,0.0012278,0.0012278
41,2942.99,0.5943,1.17078,0.56003,1.15955,0,0.99728,1,0.995,0.88501,0.99728,1,0.995,0.77593,0.53971,0.87552,0.49212,1.24085,0,0.001208,0.001208,0.001208
42,3012.84,0.59795,1.19052,0.57537,1.12904,0,0.99714,1,0.995,0.90672,0.99714,1,0.995,0.77708,0.51194,0.8797,0.47495,1.22127,0,0.0011882,0.0011882,0.0011882
43,3081.77,0.59247,1.14865,0.55038,1.11917,0,0.98948,1,0.995,0.90111,0.98948,1,0.995,0.76207,0.53543,1.0351,0.47959,1.25787,0,0.0011684,0.0011684,0.0011684
44,3150.71,0.58988,1.13927,0.57246,1.13782,0,0.99515,1,0.995,0.88495,0.99515,1,0.995,0.76797,0.52591,0.90455,0.46088,1.20006,0,0.0011486,0.0011486,0.0011486
45,3219.99,0.61724,1.16653,0.56107,1.15802,0,0.99449,1,0.995,0.86117,0.99449,1,0.995,0.7624,0.56352,0.91962,0.55203,1.18032,0,0.0011288,0.0011288,0.0011288
46,3288.62,0.57188,1.16885,0.5288,1.10779,0,0.9604,1,0.994,0.82256,0.9604,1,0.994,0.78371,0.62214,0.86986,0.58385,1.28051,0,0.001109,0.001109,0.001109
47,3356.95,0.55223,1.05909,0.49371,1.1108,0,0.9971,1,0.995,0.86229,0.9971,1,0.995,0.79176,0.55931,0.91997,0.49337,1.21204,0,0.0010892,0.0010892,0.0010892
48,3425,0.58608,1.05536,0.55851,1.13105,0,0.99689,1,0.995,0.92075,0.99689,1,0.995,0.78655,0.42175,0.91517,0.41033,1.10684,0,0.0010694,0.0010694,0.0010694
49,3498.52,0.57827,1.10744,0.49304,1.10537,0,0.95784,0.96552,0.96474,0.87396,0.9923,1,0.995,0.7311,0.53674,0.99591,0.46466,1.27337,0,0.0010496,0.0010496,0.0010496
50,3567.15,0.52684,1.08499,0.50199,1.08038,0,1,0.99183,0.995,0.90601,1,0.99183,0.995,0.78689,0.4338,0.87054,0.43962,1.11776,0,0.0010298,0.0010298,0.0010298
51,3635.44,0.55559,1.09057,0.48476,1.10732,0,0.93534,0.99775,0.98613,0.83768,0.96286,1,0.994,0.78069,0.59656,0.86704,0.51458,1.29597,0,0.00101,0.00101,0.00101
52,3705.24,0.59573,1.14205,0.50142,1.11277,0,0.9648,1,0.994,0.86594,0.9648,1,0.994,0.76148,0.52133,0.91829,0.49881,1.20008,0,0.0009902,0.0009902,0.0009902
53,3775.45,0.55661,1.16586,0.49647,1.07646,0,0.95853,1,0.993,0.89712,0.95853,1,0.993,0.7684,0.45445,0.91657,0.44235,1.12819,0,0.0009704,0.0009704,0.0009704
54,3843.63,0.58125,1.08602,0.49475,1.12164,0,0.95816,1,0.993,0.904,0.95816,1,0.993,0.76115,0.45138,0.9593,0.44192,1.12752,0,0.0009506,0.0009506,0.0009506
55,3913.31,0.53229,1.14922,0.49034,1.08439,0,0.99816,1,0.995,0.88134,0.99816,1,0.995,0.76958,0.49681,0.85741,0.44111,1.18581,0,0.0009308,0.0009308,0.0009308
56,3981.49,0.53094,1.0618,0.46605,1.08658,0,0.96972,0.96552,0.994,0.86544,0.96972,0.96552,0.994,0.76082,0.50056,0.84115,0.45816,1.20814,0,0.000911,0.000911,0.000911
57,4050.27,0.53936,1.101,0.47005,1.06952,0,1,0.98932,0.995,0.90133,1,0.98932,0.995,0.77811,0.44565,0.88161,0.45901,1.13405,0,0.0008912,0.0008912,0.0008912
58,4117.8,0.53915,1.11995,0.48706,1.09807,0,0.94393,1,0.987,0.8923,0.94393,1,0.987,0.75556,0.44126,0.85419,0.44359,1.10906,0,0.0008714,0.0008714,0.0008714
59,4186.66,0.51796,1.06259,0.47163,1.0907,0,0.95707,1,0.98933,0.90212,0.95707,1,0.98933,0.77329,0.4528,0.86084,0.39974,1.10491,0,0.0008516,0.0008516,0.0008516
60,4255.06,0.50633,1.12661,0.44205,1.08063,0,0.95706,1,0.994,0.90169,0.95706,1,0.994,0.77925,0.44775,0.85944,0.42527,1.12361,0,0.0008318,0.0008318,0.0008318
61,4323.54,0.50013,1.04082,0.43881,1.11629,0,0.96688,1,0.995,0.92014,0.96688,1,0.995,0.75529,0.39857,0.94069,0.40943,1.05324,0,0.000812,0.000812,0.000812
62,4392.13,0.50384,1.04261,0.45872,1.05213,0,0.98636,1,0.995,0.93174,0.98636,1,0.995,0.76469,0.37965,0.9653,0.35826,1.04784,0,0.0007922,0.0007922,0.0007922
63,4459.92,0.46232,0.9806,0.42741,1.05617,0,0.94413,1,0.99167,0.87435,0.94413,1,0.99167,0.78069,0.47479,0.93133,0.42425,1.13078,0,0.0007724,0.0007724,0.0007724
64,4528.19,0.48409,1.01423,0.42957,1.04492,0,0.99634,1,0.995,0.86423,0.99634,1,0.995,0.78923,0.51317,0.99324,0.43562,1.167,0,0.0007526,0.0007526,0.0007526
65,4596.97,0.52298,1.07257,0.4673,1.05641,0,0.99487,1,0.995,0.9153,0.99487,1,0.995,0.78411,0.42667,0.84621,0.36212,1.11389,0,0.0007328,0.0007328,0.0007328
66,4666.08,0.55861,1.09294,0.45324,1.10079,0,0.96662,0.99852,0.994,0.91284,0.98965,1,0.995,0.79246,0.43159,0.82562,0.35512,1.12886,0,0.000713,0.000713,0.000713
67,4733.68,0.52989,1.07355,0.46896,1.0978,0,0.99497,1,0.995,0.91543,0.99497,1,0.995,0.78811,0.44025,0.83167,0.35958,1.13825,0,0.0006932,0.0006932,0.0006932
68,4802.17,0.50775,1.02402,0.43463,1.06522,0,0.96404,1,0.995,0.90102,0.96404,1,0.995,0.78719,0.43473,0.80318,0.37767,1.11833,0,0.0006734,0.0006734,0.0006734
